y_pos,motion,speed,spown_num,interval,spown_pos_x,spown_pos_y,shot_time
2980,0,0,0,0,0,0,0
2960,0,0,0,0,,,
2940,0,0,0,0,,,
2920,0,0,0,0,,,
2900,1,5,5,10,0,50,100
2880,0,0,0,0,,,
2860,0,0,0,0,,,
2840,0,0,0,0,,,
2820,0,0,0,0,,,
2800,2,3,5,20,800,400,400
2780,0,0,0,0,,,
2760,0,0,0,0,,,
2740,0,0,0,0,,,
2720,0,0,0,0,0,0,0
2700,1,5,5,10,0,50,100
2680,0,0,0,0,,,
2660,0,0,0,0,,,
2640,0,0,0,0,,,
2620,0,0,0,0,,,
2600,2,3,5,20,800,400,400
2580,0,0,0,0,,,
2560,0,0,0,0,,,
2540,0,0,0,0,,,
2520,0,0,0,0,,,
2500,1,5,5,10,0,50,100
2480,0,0,0,0,,,
2460,0,0,0,0,,,
2440,0,0,0,0,,,
2420,0,0,0,0,,,
2400,2,3,5,20,800,400,400
2380,0,0,0,0,,,
2360,0,0,0,0,,,
2340,0,0,0,0,,,
2320,0,0,0,0,,,
2300,1,5,5,10,0,50,100
2280,0,0,0,0,,,
2260,0,0,0,0,,,
2240,0,0,0,0,,,
2220,0,0,0,0,,,
2200,2,3,5,20,800,400,400
2180,0,0,0,0,,,
2160,0,0,0,0,,,
2140,0,0,0,0,,,
2120,0,0,0,0,,,
2100,1,5,5,10,0,50,100
2080,0,0,0,0,,,
2060,0,0,0,0,,,
2040,0,0,0,0,,,
2020,0,0,0,0,,,
2000,2,3,5,20,800,400,400
1980,0,0,0,0,,,
1960,0,0,0,0,,,
1940,0,0,0,0,,,
1920,0,0,0,0,,,
1900,1,5,5,10,0,50,100
1880,0,0,0,0,,,
1860,0,0,0,0,,,
1840,0,0,0,0,,,
1820,0,0,0,0,,,
1800,2,3,5,20,800,400,400
1780,0,0,0,0,,,
1760,0,0,0,0,,,
1740,0,0,0,0,,,
1720,0,0,0,0,,,
1700,1,5,5,10,0,50,100
1680,0,0,0,0,,,
1660,0,0,0,0,,,
1640,0,0,0,0,,,
1620,0,0,0,0,,,
1600,2,3,5,20,800,400,400
1580,0,0,0,0,,,
1560,0,0,0,0,,,
1540,0,0,0,0,,,
1520,0,0,0,0,,,
1500,1,5,5,10,0,50,100
1480,0,0,0,0,,,
1460,0,0,0,0,,,
1440,0,0,0,0,,,
1420,0,0,0,0,,,
1400,2,3,5,20,800,400,400
1380,0,0,0,0,,,
1360,0,0,0,0,,,
1340,0,0,0,0,,,
1320,0,0,0,0,,,
1300,1,5,5,10,0,50,100
1280,0,0,0,0,,,
1260,0,0,0,0,,,
1240,0,0,0,0,,,
1220,0,0,0,0,,,
1200,2,3,5,20,800,400,400
1180,0,0,0,0,,,
1160,0,0,0,0,,,
1140,0,0,0,0,,,
1120,0,0,0,0,,,
1100,1,5,5,10,0,50,100
1080,0,0,0,0,,,
1060,0,0,0,0,,,
1040,0,0,0,0,,,
1020,0,0,0,0,,,
1000,2,3,5,20,800,400,400
980,0,0,0,0,,,
960,0,0,0,0,,,
940,0,0,0,0,,,
920,0,0,0,0,,,
900,1,5,5,10,0,50,100
880,0,0,0,0,,,
860,0,0,0,0,,,
840,0,0,0,0,,,
820,0,0,0,0,,,
800,2,3,5,20,800,400,400
780,0,0,0,0,,,
760,0,0,0,0,,,
740,0,0,0,0,,,
720,0,0,0,0,,,
700,1,5,5,10,0,50,100
680,0,0,0,0,,,
660,0,0,0,0,,,
640,0,0,0,0,,,
620,0,0,0,0,,,
600,2,3,5,20,800,400,400
580,0,0,0,0,,,
560,0,0,0,0,,,
540,0,0,0,0,,,
520,0,0,0,0,,,
500,1,5,5,10,0,50,100
480,0,0,0,0,,,
460,0,0,0,0,,,
440,0,0,0,0,,,
420,0,0,0,0,,,
400,2,3,5,20,800,400,400
380,0,0,0,0,,,
360,0,0,0,0,,,
340,0,0,0,0,,,
320,0,0,0,0,,,
300,1,5,5,10,0,50,100
280,0,0,0,0,,,
260,0,0,0,0,,,
240,0,0,0,0,,,
220,0,0,0,0,,,
200,2,3,5,20,800,400,400
180,0,0,0,0,,,
160,0,0,0,0,,,
140,0,0,0,0,,,
120,0,0,0,0,,,
100,0,0,0,0,,,
80,0,0,0,0,,,
60,0,0,0,0,,,
40,0,0,0,0,,,
20,0,0,0,0,,,
0,0,0,0,0,,,
