y_pos,motion,speed,spown_num,interval,spown_pos_x,spown_pos_y,shot_time
2980,0,0,0,0,0,0,0
2960,0,0,0,0,,,
2940,0,0,0,0,,,
2920,0,0,0,0,,,
2900,0,0,0,0,0,0,0
2880,0,0,0,0,0,0,0
2860,0,0,0,0,,,
2840,0,0,0,0,,,
2820,0,0,0,0,,,
2800,1,5,5,10,0,50,100
2780,0,0,0,0,,,
2760,0,0,0,0,,,
2740,0,0,0,0,,,
2720,0,0,0,0,0,0,0
2700,5,1,5,0,800,100,300
2680,0,0,0,0,,,
2660,0,0,0,0,,,
2640,0,0,0,0,0,0,0
2620,0,0,0,0,,,
2600,5,1,5,0,800,100,300
2580,0,0,0,0,,,
2560,0,0,0,0,,,
2540,0,0,0,0,,,
2520,0,0,0,0,,,
2500,5,1,5,0,800,100,300
2480,0,0,0,0,,,
2460,0,0,0,0,,,
2440,0,0,0,0,,,
2420,0,0,0,0,,,
2400,3,2,10,0,600,-50,500
2380,0,0,0,0,,,
2360,0,0,0,0,,,
2340,0,0,0,0,,,
2320,0,0,0,0,,,
2300,2,1,5,0,800,300,100
2280,0,0,0,0,,,
2260,0,0,0,0,,,
2240,0,0,0,0,,,
2220,0,0,0,0,,,
2200,4,4,5,0,0,100,300
2180,5,4,5,0,800,100,300
2160,0,0,0,0,,,
2140,0,0,0,0,,,
2120,0,0,0,0,,,
2100,0,0,0,0,,,
2080,0,0,0,0,,,
2060,0,0,0,0,,,
2040,0,0,0,0,,,
2020,0,0,0,0,,,
2000,0,0,0,0,,,
1980,0,0,0,0,,,
1960,0,0,0,0,,,
1940,0,0,0,0,,,
1920,0,0,0,0,,,
1900,0,0,0,0,,,
1880,0,0,0,0,,,
1860,0,0,0,0,,,
1840,0,0,0,0,,,
1820,0,0,0,0,,,
1800,0,0,0,0,,,
1780,0,0,0,0,,,
1760,0,0,0,0,,,
1740,0,0,0,0,,,
1720,0,0,0,0,,,
1700,1,3,5,10,0,50,100
1680,2,3,5,0,800,300,100
1660,3,3,10,0,600,-50,500
1640,4,3,5,0,0,100,300
1620,5,3,5,0,800,100,300
1600,0,0,0,0,,,
1580,0,0,0,0,,,
1560,0,0,0,0,,,
1540,0,0,0,0,,,
1520,0,0,0,0,,,
1500,0,0,0,0,,,
1480,0,0,0,0,,,
1460,0,0,0,0,,,
1440,0,0,0,0,,,
1420,0,0,0,0,,,
1400,0,0,0,0,,,
1380,0,0,0,0,,,
1360,1,3,5,10,0,50,100
1340,2,3,5,0,800,300,100
1320,3,3,10,0,600,-50,500
1300,4,3,5,0,0,100,300
1280,5,3,5,0,800,100,300
1260,0,0,0,0,,,
1240,0,0,0,0,,,
1220,0,0,0,0,,,
1200,0,0,0,0,,,
1180,0,0,0,0,,,
1160,0,0,0,0,,,
1140,0,0,0,0,,,
1120,0,0,0,0,,,
1100,0,0,0,0,,,
1080,0,0,0,0,,,
1060,0,0,0,0,,,
1040,0,0,0,0,,,
1020,1,3,5,10,0,50,100
1000,2,3,5,0,800,300,100
980,3,3,10,0,600,-50,500
960,4,3,5,0,0,100,300
940,5,3,5,0,800,100,300
920,0,0,0,0,,,
900,0,0,0,0,,,
880,0,0,0,0,,,
860,0,0,0,0,,,
840,0,0,0,0,,,
820,0,0,0,0,,,
800,0,0,0,0,,,
780,0,0,0,0,,,
760,0,0,0,0,,,
740,0,0,0,0,,,
720,1,3,5,10,0,50,100
700,2,3,5,0,800,300,100
680,3,3,10,0,600,-50,500
660,4,3,5,0,0,100,300
640,5,3,5,0,800,100,300
620,0,0,0,0,,,
600,0,0,0,0,,,
580,0,0,0,0,,,
560,0,0,0,0,,,
540,0,0,0,0,,,
520,0,0,0,0,,,
500,0,0,0,0,,,
480,0,0,0,0,,,
460,0,0,0,0,,,
440,0,0,0,0,,,
420,1,3,5,10,0,50,100
400,2,3,5,0,800,300,100
380,3,3,10,0,600,-50,500
360,4,3,5,0,0,100,300
340,5,3,5,0,800,100,300
320,0,0,0,0,,,
300,0,0,0,0,,,
280,0,0,0,0,,,
260,0,0,0,0,,,
240,0,0,0,0,,,
220,0,0,0,0,,,
200,0,0,0,0,,,
180,0,0,0,0,,,
160,0,0,0,0,,,
140,0,0,0,0,,,
120,0,0,0,0,,,
100,0,0,0,0,,,
80,0,0,0,0,,,
60,0,0,0,0,,,
40,0,0,0,0,,,
20,0,0,0,0,,,
0,0,0,0,0,,,
